Name,Platform,Year_of_Release,Genre,NA_sales,EU_sales,JP_sales,Other_sales,Critic_Score,User_Score,Rating
LEGO Indiana Jones: The Original Adventures,X360,2008.0,Action,2.4,01.01,0.0,0.36,77.0,7.5,E10+
The Legend of Zelda: A Link Between Worlds,3DS,2013.0,Action,1.4,01.01,0.46,0.23,91.0,8.9,E
LEGO Batman: The Videogame,DS,2008.0,Action,1.75,01.01,0.0,0.29,72.0,8,E10+
The Getaway: Black Monday,PS2,2004.0,Action,0.39,01.01,0.02,0.36,57.0,7.6,M
Metal Gear Solid 2: Sons of Liberty,PS2,2001.0,Action,2.45,02.01,0.87,0.72,96.0,8.7,M
Driver 2,PS,2000.0,Action,2.36,2.1,0.02,0.25,62.0,7.7,T
Assassin's Creed: Revelations,PS3,2011.0,Action,1.41,02.01,0.1,0.7,80.0,7.5,M
FIFA Soccer 13,PS3,2012.0,Action,01.06,05.01,0.13,1.97,88.0,6.6,E
Spider-Man 2,PS2,2004.0,Action,1.75,1.2,0.02,0.43,80.0,8.9,T
LEGO Batman: The Videogame,X360,2008.0,Action,02.04,01.02,0.0,0.32,76.0,7.9,E10+
Peter Jackson's King Kong: The Official Game of the Movie,PS2,2005.0,Action,0.71,01.02,0.0,0.31,82.0,8.2,T
Uncharted 2: Among Thieves,PS3,2009.0,Action,3.27,2.2,0.21,0.98,96.0,8.8,T
Prince of Persia: The Sands of Time,PS2,2003.0,Action,0.88,01.03,0.0,0.31,92.0,8.8,T
Just Cause 3,PS4,2015.0,Action,0.47,01.03,0.07,0.28,73.0,6.5,M
Grand Theft Auto: Liberty City Stories,PS2,2006.0,Action,1.56,1.4,0.07,0.5,78.0,7.8,M
Tom Clancy's Splinter Cell,XB,2002.0,Action,1.85,01.04,0.0,0.13,93.0,8.5,T
Saints Row: The Third,PS3,2011.0,Action,0.86,01.04,0.18,0.38,82.0,7.7,M
Need for Speed: The Run,PS3,2011.0,Action,0.58,01.04,0.03,0.36,64.0,6.4,T
True Crime: Streets of LA,PS2,2003.0,Action,1.89,01.05,0.02,0.31,77.0,8,M
Finding Nemo,GBA,2003.0,Action,1.59,01.05,0.04,0.14,,7,E
Hitman: Absolution,PS3,2012.0,Action,0.59,01.05,0.07,0.44,83.0,7.5,M
Guild Wars 2,PC,2012.0,Action,0.96,01.07,0.0,0.27,90.0,7.9,T
Assassin's Creed: Unity,PS4,2014.0,Action,1.19,02.07,0.08,0.62,70.0,4.9,M
Grand Theft Auto 2,PS,1998.0,Action,1.13,02.07,0.0,0.22,70.0,8,T
Grand Theft Auto IV,X360,2008.0,Action,6.76,03.07,0.14,01.03,98.0,7.9,M
The Legend of Zelda: Phantom Hourglass,DS,2007.0,Action,1.85,1.8,0.95,0.48,90.0,8,E
The Incredibles,PS2,2004.0,Action,0.96,01.08,0.04,0.3,62.0,7.6,T
Mafia III,PS4,2016.0,Action,0.42,01.08,0.03,0.28,68.0,5.1,M
Driver,PS,1999.0,Action,3.11,2.8,0.02,0.33,87.0,8.1,T
Watch Dogs,PS4,2014.0,Action,1.4,1.9,0.11,0.64,80.0,6.3,M
Harry Potter and the Chamber of Secrets,PS,2002.0,Action,0.75,01.09,0.02,0.12,,8.5,E
Grand Theft Auto V,PS3,2013.0,Action,07.02,09.09,0.98,3.96,97.0,8.2,M
Assassin's Creed IV: Black Flag,X360,2013.0,Action,1.9,1.11,0.01,0.29,86.0,7.9,M
Tom Clancy's Splinter Cell,PS2,2003.0,Action,1.15,1.11,0.0,0.4,89.0,7.7,T
Enter the Matrix,PS2,2003.0,Action,1.78,1.12,0.09,0.19,62.0,8.1,T
Metal Gear Solid 3: Snake Eater,PS2,2004.0,Action,1.46,0.0,0.83,1.93,91.0,9.3,M
Yokai Watch Busters,3DS,2015.0,Action,0.0,0.0,2.29,0.0,,,
SpongeBob's Atlantis SquarePantis,DS,2007.0,Action,1.49,0.0,0.0,0.11,64.0,tbd,E
Yokai Watch 3,3DS,2016.0,Action,0.0,0.0,1.33,0.0,,,
Star Wars: The Force Unleashed,PS2,2008.0,Action,0.49,0.0,0.01,0.75,68.0,7.4,T
Doraemon,NES,1986.0,Action,0.0,0.0,1.15,0.0,,,
NCAA Football 13,X360,2012.0,Action,01.02,0.0,0.0,0.07,76.0,5.5,E
Mega Man Star Force Dragon / Leo / Pegasus,DS,2006.0,Action,0.39,0.0,0.53,0.03,,,
MLB 16: The Show,PS4,2016.0,Action,0.72,0.0,0.0,0.17,,,
NCAA Football 13,PS3,2012.0,Action,0.82,0.0,0.0,0.07,79.0,4.1,E
Monster Strike 3DS,3DS,2015.0,Action,0.0,0.0,0.87,0.0,,,
Ratatouille,PS2,2007.0,Action,0.31,0.0,0.0,0.53,65.0,8,E
Ben 10: Protector of Earth,PS2,2007.0,Action,0.09,0.0,0.0,0.74,,7.6,E10+
God of War Saga,PS3,2012.0,Action,0.73,0.0,0.0,0.1,,8.3,M
Twisted Metal: Head On,PSP,2005.0,Action,0.71,0.0,0.0,0.06,79.0,8.2,T
God Eater,PSP,2010.0,Action,0.0,0.0,0.72,0.0,,,
Kouchuu Ouja Mushi King,GBA,2005.0,Action,0.0,0.0,0.7,0.02,,,
Metal Gear Solid: Portable Ops Plus,PSP,2007.0,Action,0.26,0.0,0.26,0.17,65.0,7.5,T
Kirby's Dream Collection: Special Edition,Wii,2012.0,Action,0.33,0.0,0.33,0.02,82.0,8.8,E10+
Gods Eater Burst,PSP,2010.0,Action,0.03,0.0,0.62,0.0,71.0,7.9,T
Kung Fu Panda,PS2,2008.0,Action,0.24,0.0,0.0,0.41,73.0,8.6,E10+
SpongeBob's Atlantis SquarePantis,Wii,2007.0,Action,0.56,0.0,0.0,0.04,,5.5,E
Yakuza 5,PS3,2012.0,Action,0.0,0.0,0.59,0.0,83.0,8.5,M
Mega Man Star Force 2: Zerker x Ninja / Saurian,DS,2007.0,Action,0.24,0.0,0.31,0.02,,,
The Mysterious Murasame Castle,NES,1986.0,Action,0.0,0.0,0.57,0.0,,,
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,DS,2008.0,Action,0.52,0.0,0.0,0.04,,6,E
Yokai Sangokushi,3DS,2016.0,Action,0.0,0.0,0.56,0.0,,,
Iron Man,PS2,2008.0,Action,0.36,0.0,0.0,0.19,47.0,5.6,T
SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Wii,2008.0,Action,0.49,0.0,0.0,0.04,47.0,5.4,E
The Golden Compass,PS2,2007.0,Action,0.13,0.0,0.0,0.39,46.0,5.2,E10+
Go Diego Go! Safari Rescue,Wii,2008.0,Action,0.47,0.0,0.0,0.04,,,
Dynasty Warriors,PSP,2004.0,Action,0.18,0.0,0.3,0.02,62.0,7.3,T
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,PS3,2015.0,Action,0.0,0.0,0.49,0.0,,,
Clash of Elementalists,DS,2010.0,Action,0.0,0.0,0.47,0.0,34.0,tbd,T
Spider-Man: Friend or Foe,DS,2007.0,Action,0.43,0.0,0.0,0.04,55.0,tbd,E10+
Mega Man Star Force 3: Black Ace / Red Joker,DS,2008.0,Action,0.22,0.0,0.22,0.02,,,
Nickelodeon Team Umizoomi,DS,2011.0,Action,0.42,0.0,0.0,0.03,,tbd,EC
Mobile Suit Gundam,PS,1995.0,Action,0.0,0.0,0.42,0.03,,,
Bee Movie Game,DS,2007.0,Action,0.41,0.0,0.0,0.03,58.0,tbd,E
Dragon Quest Heroes: Rocket Slime,DS,2005.0,Action,0.13,0.0,0.31,0.01,83.0,7.6,E
Mobile Suit Gundam: One Year War,PS2,2005.0,Action,0.0,0.0,0.44,0.0,,,
007: Quantum of Solace,PS2,2008.0,Action,0.17,0.0,0.0,0.26,,,
Mass Effect Trilogy,PS3,2012.0,Action,0.37,0.0,0.0,0.06,,8.7,M
Naruto: Ninja Council 3,DS,2006.0,Action,0.39,0.0,0.0,0.03,56.0,6.5,E10+
Super Wagyan Land,SNES,1991.0,Action,0.0,0.0,0.42,0.0,,,
SpongeBob's Truth or Square (US sales),DS,2009.0,Action,0.42,0.0,0.0,0.0,,,
NBA 2K11,PSP,2010.0,Action,0.39,0.0,0.0,0.03,,6.4,E
Attack on Titan: Humanity in Chains,3DS,2013.0,Action,0.0,0.0,0.42,0.0,46.0,4.5,M
Tomb Raider: The Last Revelation,PC,1998.0,Action,0.41,0.0,0.0,0.0,,8.6,T
Mobile Suit Gundam,SAT,1995.0,Action,0.0,0.0,0.41,0.0,,,
Warriors Orochi 2 (JP sales),PS2,2008.0,Action,0.0,0.0,0.4,0.0,,,
SpongeBob's Truth or Square (US sales),PSP,2009.0,Action,0.39,0.0,0.0,0.0,,,
WipeOut 3 The Game,Wii,2012.0,Action,0.36,0.0,0.0,0.03,,,
Mobile Suit Gundam version 2.0,PS,1996.0,Action,0.0,0.0,0.36,0.02,,,
Madagascar: Escape 2 Africa,PS2,2008.0,Action,0.12,0.0,0.0,0.26,56.0,5.8,E
Mobile Suit Z-Gundam,PS,1997.0,Action,0.0,0.0,0.34,0.02,,,
Digging for Dinosaurs,DS,2010.0,Action,0.33,0.0,0.0,0.02,,tbd,E
Sentouchu: Densetsu no Shinobi to Survival Battle!,3DS,2013.0,Action,0.0,0.0,0.35,0.0,,,
Chicken Shoot,Wii,2007.0,Action,0.32,0.0,0.0,0.02,27.0,4.8,E10+
Avatar: The Last Airbender - The Burning Earth,DS,2007.0,Action,0.31,0.0,0.0,0.03,,,
SpongeBob SquarePants: The Yellow Avenger,DS,2005.0,Action,0.31,0.0,0.0,0.02,67.0,7.6,E
Sengoku Musou 3 Z,PS3,2011.0,Action,0.0,0.0,0.33,0.0,,,
Samurai Warriors 2: Xtreme Legends (JP sales),PS2,2007.0,Action,0.0,0.0,0.33,0.0,,,
Dynasty Warriors 4 Empires,PS2,2004.0,Action,0.0,0.0,0.32,0.0,71.0,8.8,T
Mario Golf,GB,1999.0,Action,0.0,0.0,0.31,0.0,,,
Taiko Drum Master: Don and Katsu's Space-Time Great Adventure,3DS,2014.0,Action,0.0,0.0,0.31,0.0,,,
Dr. Seuss: How the Grinch Stole Christmas,DS,2007.0,Action,0.29,0.0,0.0,0.02,,,
Batman: Arkham VR,PS4,2016.0,Action,0.25,0.0,0.0,0.06,75.0,7.3,M
Looney Tunes: Duck Amuck,DS,2007.0,Action,0.28,0.0,0.0,0.02,66.0,tbd,E
One Piece Unlimited Cruise SP,3DS,2011.0,Action,0.0,0.0,0.3,0.0,46.0,7.3,
Nicktoons: Battle for Volcano Island,DS,2006.0,Action,0.27,0.0,0.0,0.02,59.0,tbd,E
Warriors Orochi 2,PSP,2008.0,Action,0.06,0.0,0.22,0.01,56.0,7.5,T
Bratz: Super Babyz,DS,2008.0,Action,0.26,0.0,0.0,0.02,50.0,tbd,E
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS4,2016.0,Action,0.0,0.0,0.28,0.0,,,
Lord of Darkness,SNES,1991.0,Action,0.0,0.0,0.28,0.0,,,
Kung Zhu,DS,2010.0,Action,0.26,0.0,0.0,0.02,,,
Monster Hunter Stories,3DS,2016.0,Action,0.0,0.0,0.28,0.0,,,
Kenka Bancho: Badass Rumble,PSP,2008.0,Action,0.06,0.0,0.2,0.01,70.0,7.5,T
NES Remix,WiiU,2014.0,Action,0.17,0.0,0.08,0.02,71.0,7.1,E
Dynasty Warriors: Gundam,PS2,2008.0,Action,0.0,0.0,0.28,0.0,,,
The Legend of Zelda: The Minish Cap(weekly JP sales),GBA,,Action,0.0,0.0,0.27,0.01,,,
Resident Evil 2: Dual Shock Edition,PS,1998.0,Action,0.0,0.0,0.26,0.02,,,
Sengoku Basara 4,PS3,2014.0,Action,0.0,0.0,0.27,0.0,,,
Tohoku Daigaku Karei Igaku Kenkyuusho - Kawashima Ryuuta Kyouju Kanshuu - Mono Sugoku Nou o Kitaeru 5-Funkan no Oni Training,3DS,2012.0,Action,0.0,0.0,0.27,0.0,,,
Gundam Breaker,PS3,2013.0,Action,0.0,0.0,0.26,0.0,,,
Aikatsu! 2-nin no My Princess,3DS,2013.0,Action,0.0,0.0,0.26,0.0,,,
Sengoku Basara 2,PS2,2006.0,Action,0.0,0.0,0.26,0.0,,,
Sengoku Basara: Battle Heroes,PSP,2009.0,Action,0.0,0.0,0.26,0.0,,,
Yakuza: Ishin,PS3,2014.0,Action,0.0,0.0,0.26,0.0,,,
Samurai Warriors 4,PS3,2014.0,Action,0.0,0.0,0.26,0.0,,8,T
Tokyo Jungle,PS3,2012.0,Action,0.0,0.0,0.26,0.0,74.0,8.4,T
The Suite Life of Zack & Cody: Tipton Trouble,DS,2006.0,Action,0.23,0.0,0.0,0.02,,,
Dynasty Warriors 6 (JP sales),PS2,2008.0,Action,0.0,0.0,0.25,0.0,,,
SpongeBob's Truth or Square (US sales),X360,2009.0,Action,0.25,0.0,0.0,0.0,,,
Avatar: The Last Airbender - The Burning Earth,Wii,2007.0,Action,0.23,0.0,0.0,0.02,,,
Yakuza Zero: The Place of Oath,PS3,2015.0,Action,0.0,0.0,0.25,0.0,,,
Tongari Boushi to Oshare na Mahou Tsukai,DS,2011.0,Action,0.0,0.0,0.24,0.0,,,
Mobile Suit Gundam Battlefield Record U.C.0081,PS3,2009.0,Action,0.0,0.0,0.24,0.0,,,
Ratchet & Clank: Going Commando (JP weekly sales),PS2,2003.0,Action,0.0,0.0,0.24,0.0,,,
The Incredible Hulk,DS,2008.0,Action,0.22,0.0,0.0,0.02,50.0,tbd,E10+
Ghost Rider,PSP,2007.0,Action,0.22,0.0,0.0,0.02,49.0,5.7,T
Girls Mode 3: Kirakira Code,3DS,2015.0,Action,0.0,0.0,0.23,0.0,,,
Mobile Suit Gundam: Climax U.C.,PS2,2006.0,Action,0.0,0.0,0.23,0.0,,,
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016.0,Action,0.0,0.0,0.23,0.0,,,
Dynasty Warriors: Gundam Reborn,PS3,2013.0,Action,0.0,0.0,0.23,0.0,64.0,7.5,T
Musou Orochi Z,PS3,2009.0,Action,0.0,0.0,0.23,0.0,,,
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016.0,Action,0.0,0.0,0.22,0.0,,,
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011.0,Action,0.0,0.0,0.22,0.0,,,
Gundam Battle Chronicle,PSP,2007.0,Action,0.0,0.0,0.22,0.0,,,
Danball Senki Boost,PSP,2011.0,Action,0.0,0.0,0.22,0.0,,,
Hatsune Miku: Project Mirai 2,3DS,2013.0,Action,0.0,0.0,0.22,0.0,,,
Sengoku Basara 3 Utage,PS3,2011.0,Action,0.0,0.0,0.22,0.0,,,
Mobile Suit Gundam Seed,PS2,2003.0,Action,0.0,0.0,0.22,0.0,,,
Naruto Shippuden: Ninja Council 4,DS,2007.0,Action,0.08,0.0,0.13,0.01,49.0,tbd,E10+
Sailor Moon,SNES,1993.0,Action,0.0,0.0,0.22,0.0,,,
Digimon World Re:Digitize,PSP,2012.0,Action,0.0,0.0,0.22,0.0,,,
Gekijouban Macross F: Itsuwarino Utahime - Hybrid Pack,PS3,2010.0,Action,0.0,0.0,0.21,0.0,,,
WipeOut 3 The Game,X360,2012.0,Action,0.2,0.0,0.0,0.02,,,
Bratz: Girlz Really Rock,Wii,2008.0,Action,0.19,0.0,0.0,0.02,,tbd,E
Vampire Rain,X360,2007.0,Action,0.18,0.0,0.01,0.01,38.0,2.9,M
Little Battlers eXperience: Baku Boost,3DS,2012.0,Action,0.0,0.0,0.21,0.0,,,
Jikkyou Powerful Pro Yakyuu 2012,PS3,2012.0,Action,0.0,0.0,0.21,0.0,,,
Wedding Dash,DS,2009.0,Action,0.19,0.0,0.0,0.01,,tbd,E
Sengoku Basara 2 Heroes,PS2,2007.0,Action,0.0,0.0,0.2,0.0,,,
WipeOut 3 The Game,3DS,2012.0,Action,0.18,0.0,0.0,0.02,,,
Kurohyou 2: Ryu ga Gotoku Ashura Hen,PSP,2012.0,Action,0.0,0.0,0.2,0.0,,,
Code of Princess,3DS,2012.0,Action,0.16,0.0,0.03,0.01,67.0,7.6,T
Warriors Orochi,PSP,2008.0,Action,0.02,0.0,0.18,0.0,62.0,6.6,T
Shaman King: Spirit of Shamans,PS,2002.0,Action,0.0,0.0,0.18,0.01,,,
Family Guy,PSP,2006.0,Action,0.18,0.0,0.0,0.02,51.0,6.3,M
MLB 16: The Show,PS3,2016.0,Action,0.16,0.0,0.0,0.04,,,
Harry Potter and the Goblet of Fire,PSP,2005.0,Action,0.17,0.0,0.0,0.02,70.0,7.4,E10+
Kouchuu Ouja Mushi King: Greatest Champion e no Michi DS,DS,2005.0,Action,0.0,0.0,0.19,0.0,,,
Great Phoenix Wright: Ace Attorney - Naruhodou Ryuunosuke no Bouken,3DS,2015.0,Action,0.0,0.0,0.19,0.0,,,
Kan Colle Kai,PSV,2016.0,Action,0.0,0.0,0.19,0.0,,,
The Spiderwick Chronicles,Wii,2008.0,Action,0.17,0.0,0.0,0.01,62.0,tbd,E10+
Kamen Rider: Battride War,PS3,2013.0,Action,0.0,0.0,0.19,0.0,,,
God Eater Resurrection,PSV,2015.0,Action,0.0,0.0,0.19,0.0,,8.8,T
Kenka Banchou 4: Ichinen Sensou,PSP,2010.0,Action,0.0,0.0,0.19,0.0,,,
NBA 2K11,PC,2010.0,Action,0.18,0.0,0.0,0.01,82.0,8.6,E
Chaotic: Shadow Warriors,Wii,2009.0,Action,0.18,0.0,0.0,0.01,,tbd,E10+
3rd Super Robot Wars Z: Tengoku-Hen,PSV,2015.0,Action,0.0,0.0,0.19,0.0,,,
Monsters vs. Aliens,PS2,2009.0,Action,0.11,0.0,0.0,0.08,64.0,tbd,E10+
Beyblade: Metal Fusion - Battle Fortress,Wii,2009.0,Action,0.15,0.0,0.03,0.01,,,
Penguin no Mondai X: Tenkuu no 7 Senshi,DS,2009.0,Action,0.0,0.0,0.19,0.0,,,
Pro Evolution Soccer 2014,3DS,2013.0,Action,0.0,0.0,0.19,0.0,,,E
Samurai Warriors 2: Empires,PS2,2006.0,Action,0.0,0.0,0.19,0.0,55.0,7.3,T
Disney's Meet the Robinsons,Wii,2007.0,Action,0.17,0.0,0.0,0.01,62.0,6.3,E10+
Samurai Warriors: State of War,PSP,2005.0,Action,0.07,0.0,0.11,0.01,64.0,6.4,T
Dragon Blade: Wrath of Fire,Wii,2007.0,Action,0.17,0.0,0.0,0.01,51.0,7.5,T
The Munchables,Wii,2009.0,Action,0.17,0.0,0.0,0.01,71.0,8.2,E
Chaotic: Shadow Warriors,DS,2009.0,Action,0.17,0.0,0.0,0.01,,tbd,E10+
Ringling Bros. and Barnum & Bailey Circus,Wii,2009.0,Action,0.17,0.0,0.0,0.01,,,
X-Men Origins: Wolverine,PS2,2009.0,Action,0.13,0.0,0.0,0.05,,6.8,T
Shrek SuperSlam,DS,2005.0,Action,0.17,0.0,0.0,0.01,,,
Spider-Man: Friend or Foe,PSP,2007.0,Action,0.16,0.0,0.0,0.01,58.0,4.4,E10+
Toukiden: The Age of Demons,PSP,2013.0,Action,0.0,0.0,0.18,0.0,,,
Senran Kagura: Estival Versus,PS4,2015.0,Action,0.08,0.0,0.08,0.02,67.0,8,M
Mobile Suit Gundam Seed Destiny: Generation of C.E.,PS2,2005.0,Action,0.0,0.0,0.18,0.0,,,
Biohazard: Revival Selection,PS3,2011.0,Action,0.0,0.0,0.18,0.0,,,
Yakuza Zero: The Place of Oath,PS4,2015.0,Action,0.0,0.0,0.17,0.0,,,
Kekkaishi: Karasumori Ayakashi Kidan,DS,2007.0,Action,0.0,0.0,0.17,0.0,,,
The Idolm@ster: Shiny Festa - Honey Sound / Funky Note / Groovy Tune,PSP,2012.0,Action,0.0,0.0,0.17,0.0,,,
Tamagotchi no Narikiri Challenge,DS,2010.0,Action,0.0,0.0,0.17,0.0,,,
X-Men: The Official Game,X360,2006.0,Action,0.16,0.0,0.0,0.01,52.0,6.1,T
Resident Evil Director's Cut: Dual Shock Edition,PS,1997.0,Action,0.0,0.0,0.16,0.01,,,
Macross Ultimate Frontier,PSP,2009.0,Action,0.0,0.0,0.17,0.0,,,
Mercury Meltdown Revolution,Wii,2007.0,Action,0.16,0.0,0.0,0.01,77.0,7.4,E
Country Dance: All Stars,X360,2012.0,Action,0.16,0.0,0.0,0.01,,5.2,E10+
Gundam Assault Survive,PSP,2010.0,Action,0.0,0.0,0.17,0.0,,,
Bee Movie Game,X360,2007.0,Action,0.16,0.0,0.0,0.01,71.0,5.8,E
Sumikko Gurashi: Koko ga Ochitsukundesu,3DS,2014.0,Action,0.0,0.0,0.17,0.0,,,
Mobile Suit Gundam: Extreme VS Force,PSV,2015.0,Action,0.0,0.0,0.17,0.0,57.0,7.3,E10+
Ringling Bros. and Barnum & Bailey: Circus Friends,DS,2009.0,Action,0.15,0.0,0.0,0.01,,,
Resident Evil,SAT,1997.0,Action,0.0,0.0,0.17,0.0,,,
Chaotic: Shadow Warriors,PS3,2009.0,Action,0.15,0.0,0.0,0.02,,tbd,E10+
TransFormers Animated: The Game,DS,2008.0,Action,0.15,0.0,0.0,0.01,69.0,tbd,E
Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006.0,Action,0.15,0.0,0.0,0.01,,tbd,E
Tak: Mojo Mistake,DS,2008.0,Action,0.15,0.0,0.0,0.01,,tbd,E
